,id,wnID,words
0,1,n02119789,kit_fox
1,2,n02100735,English_setter
2,3,n02110185,Siberian_husky
3,4,n02096294,Australian_terrier
4,5,n02102040,English_springer
5,6,n02066245,grey_whale
6,7,n02509815,lesser_panda
7,8,n02124075,Egyptian_cat
8,9,n02417914,ibex
9,10,n02123394,Persian_cat
10,11,n02125311,cougar
11,12,n02423022,gazelle
12,13,n02346627,porcupine
13,14,n02077923,sea_lion
14,15,n02110063,malamute
15,16,n02447366,badger
16,17,n02109047,Great_Dane
17,18,n02089867,Walker_hound
18,19,n02102177,Welsh_springer_spaniel
19,20,n02091134,whippet
20,21,n02092002,Scottish_deerhound
21,22,n02071294,killer_whale
22,23,n02442845,mink
23,24,n02504458,African_elephant
24,25,n02092339,Weimaraner
25,26,n02098105,soft-coated_wheaten_terrier
26,27,n02096437,Dandie_Dinmont
27,28,n02114712,red_wolf
28,29,n02105641,Old_English_sheepdog
29,30,n02128925,jaguar
30,31,n02091635,otterhound
31,32,n02088466,bloodhound
32,33,n02096051,Airedale
33,34,n02117135,hyena
34,35,n02138441,meerkat
35,36,n02097130,giant_schnauzer
36,37,n02493509,titi
37,38,n02457408,three-toed_sloth
38,39,n02389026,sorrel
39,40,n02443484,black-footed_ferret
40,41,n02110341,dalmatian
41,42,n02089078,black-and-tan_coonhound
42,43,n02086910,papillon
43,44,n02445715,skunk
44,45,n02093256,Staffordshire_bullterrier
45,46,n02113978,Mexican_hairless
46,47,n02106382,Bouvier_des_Flandres
47,48,n02441942,weasel
48,49,n02113712,miniature_poodle
49,50,n02113186,Cardigan
50,51,n02105162,malinois
51,52,n02415577,bighorn
52,53,n02356798,fox_squirrel
53,54,n02488702,colobus
54,55,n02123159,tiger_cat
55,56,n02098413,Lhasa
56,57,n02422699,impala
57,58,n02114855,coyote
58,59,n02094433,Yorkshire_terrier
59,60,n02111277,Newfoundland
60,61,n02132136,brown_bear
61,62,n02119022,red_fox
62,63,n02091467,Norwegian_elkhound
63,64,n02106550,Rottweiler
64,65,n02422106,hartebeest
65,66,n02091831,Saluki
66,67,n02120505,grey_fox
67,68,n02104365,schipperke
68,69,n02086079,Pekinese
69,70,n02112706,Brabancon_griffon
70,71,n02098286,West_Highland_white_terrier
71,72,n02095889,Sealyham_terrier
72,73,n02484975,guenon
73,74,n02137549,mongoose
74,75,n02500267,indri
75,76,n02129604,tiger
76,77,n02090721,Irish_wolfhound
77,78,n02396427,wild_boar
78,79,n02108000,EntleBucher
79,80,n02391049,zebra
80,81,n02412080,ram
81,82,n02108915,French_bulldog
82,83,n02480495,orangutan
83,84,n02110806,basenji
84,85,n02128385,leopard
85,86,n02107683,Bernese_mountain_dog
86,87,n02085936,Maltese_dog
87,88,n02094114,Norfolk_terrier
88,89,n02087046,toy_terrier
89,90,n02100583,vizsla
90,91,n02096177,cairn
91,92,n02494079,squirrel_monkey
92,93,n02105056,groenendael
93,94,n02101556,clumber
94,95,n02123597,Siamese_cat
95,96,n02481823,chimpanzee
96,97,n02105505,komondor
97,98,n02088094,Afghan_hound
98,99,n02085782,Japanese_spaniel
99,100,n02489166,proboscis_monkey
100,101,n02364673,guinea_pig
101,102,n02114548,white_wolf
102,103,n02134084,ice_bear
103,104,n02480855,gorilla
104,105,n02090622,borzoi
105,106,n02113624,toy_poodle
106,107,n02093859,Kerry_blue_terrier
107,108,n02403003,ox
108,109,n02097298,Scotch_terrier
109,110,n02108551,Tibetan_mastiff
110,111,n02493793,spider_monkey
111,112,n02107142,Doberman
112,113,n02096585,Boston_bull
113,114,n02107574,Greater_Swiss_Mountain_dog
114,115,n02107908,Appenzeller
115,116,n02086240,Shih-Tzu
116,117,n02102973,Irish_water_spaniel
117,118,n02112018,Pomeranian
118,119,n02093647,Bedlington_terrier
119,120,n02397096,warthog
120,121,n02437312,Arabian_camel
121,122,n02483708,siamang
122,123,n02097047,miniature_schnauzer
123,124,n02106030,collie
124,125,n02099601,golden_retriever
125,126,n02093991,Irish_terrier
126,127,n02110627,affenpinscher
127,128,n02106166,Border_collie
128,129,n02326432,hare
129,130,n02108089,boxer
130,131,n02097658,silky_terrier
131,132,n02088364,beagle
132,133,n02111129,Leonberg
133,134,n02100236,German_short-haired_pointer
134,135,n02486261,patas
135,136,n02115913,dhole
136,137,n02486410,baboon
137,138,n02487347,macaque
138,139,n02099849,Chesapeake_Bay_retriever
139,140,n02108422,bull_mastiff
140,141,n02104029,kuvasz
141,142,n02492035,capuchin
142,143,n02110958,pug
143,144,n02099429,curly-coated_retriever
144,145,n02094258,Norwich_terrier
145,146,n02099267,flat-coated_retriever
146,147,n02395406,hog
147,148,n02112350,keeshond
148,149,n02109961,Eskimo_dog
149,150,n02101388,Brittany_spaniel
150,151,n02113799,standard_poodle
151,152,n02095570,Lakeland_terrier
152,153,n02128757,snow_leopard
153,154,n02101006,Gordon_setter
154,155,n02115641,dingo
155,156,n02097209,standard_schnauzer
156,157,n02342885,hamster
157,158,n02097474,Tibetan_terrier
158,159,n02120079,Arctic_fox
159,160,n02095314,wire-haired_fox_terrier
160,161,n02088238,basset
161,162,n02408429,water_buffalo
162,163,n02133161,American_black_bear
163,164,n02328150,Angora
164,165,n02410509,bison
165,166,n02492660,howler_monkey
166,167,n02398521,hippopotamus
167,168,n02112137,chow
168,169,n02510455,giant_panda
169,170,n02093428,American_Staffordshire_terrier
170,171,n02105855,Shetland_sheepdog
171,172,n02111500,Great_Pyrenees
172,173,n02085620,Chihuahua
173,174,n02123045,tabby
174,175,n02490219,marmoset
175,176,n02099712,Labrador_retriever
176,177,n02109525,Saint_Bernard
177,178,n02454379,armadillo
178,179,n02111889,Samoyed
179,180,n02088632,bluetick
180,181,n02090379,redbone
181,182,n02443114,polecat
182,183,n02361337,marmot
183,184,n02105412,kelpie
184,185,n02483362,gibbon
185,186,n02437616,llama
186,187,n02107312,miniature_pinscher
187,188,n02325366,wood_rabbit
188,189,n02091032,Italian_greyhound
189,190,n02129165,lion
190,191,n02102318,cocker_spaniel
191,192,n02100877,Irish_setter
192,193,n02074367,dugong
193,194,n02504013,Indian_elephant
194,195,n02363005,beaver
195,196,n02102480,Sussex_spaniel
196,197,n02113023,Pembroke
197,198,n02086646,Blenheim_spaniel
198,199,n02497673,Madagascar_cat
199,200,n02087394,Rhodesian_ridgeback
200,201,n02127052,lynx
201,202,n02116738,African_hunting_dog
202,203,n02488291,langur
203,204,n02091244,Ibizan_hound
204,205,n02114367,timber_wolf
205,206,n02130308,cheetah
206,207,n02089973,English_foxhound
207,208,n02105251,briard
208,209,n02134418,sloth_bear
209,210,n02093754,Border_terrier
210,211,n02106662,German_shepherd
211,212,n02444819,otter
212,213,n01882714,koala
213,214,n01871265,tusker
214,215,n01872401,echidna
215,216,n01877812,wallaby
216,217,n01873310,platypus
217,218,n01883070,wombat
218,219,n04086273,revolver
219,220,n04507155,umbrella
220,221,n04147183,schooner
221,222,n04254680,soccer_ball
222,223,n02672831,accordion
223,224,n02219486,ant
224,225,n02317335,starfish
225,226,n01968897,chambered_nautilus
226,227,n03452741,grand_piano
227,228,n03642806,laptop
228,229,n07745940,strawberry
229,230,n02690373,airliner
230,231,n04552348,warplane
231,232,n02692877,airship
232,233,n02782093,balloon
233,234,n04266014,space_shuttle
234,235,n03344393,fireboat
235,236,n03447447,gondola
236,237,n04273569,speedboat
237,238,n03662601,lifeboat
238,239,n02951358,canoe
239,240,n04612504,yawl
240,241,n02981792,catamaran
241,242,n04483307,trimaran
242,243,n03095699,container_ship
243,244,n03673027,liner
244,245,n03947888,pirate
245,246,n02687172,aircraft_carrier
246,247,n04347754,submarine
247,248,n04606251,wreck
248,249,n03478589,half_track
249,250,n04389033,tank
250,251,n03773504,missile
251,252,n02860847,bobsled
252,253,n03218198,dogsled
253,254,n02835271,bicycle-built-for-two
254,255,n03792782,mountain_bike
255,256,n03393912,freight_car
256,257,n03895866,passenger_car
257,258,n02797295,barrow
258,259,n04204347,shopping_cart
259,260,n03791053,motor_scooter
260,261,n03384352,forklift
261,262,n03272562,electric_locomotive
262,263,n04310018,steam_locomotive
263,264,n02704792,amphibian
264,265,n02701002,ambulance
265,266,n02814533,beach_wagon
266,267,n02930766,cab
267,268,n03100240,convertible
268,269,n03594945,jeep
269,270,n03670208,limousine
270,271,n03770679,minivan
271,272,n03777568,Model_T
272,273,n04037443,racer
273,274,n04285008,sports_car
274,275,n03444034,go-kart
275,276,n03445924,golfcart
276,277,n03785016,moped
277,278,n04252225,snowplow
278,279,n03345487,fire_engine
279,280,n03417042,garbage_truck
280,281,n03930630,pickup
281,282,n04461696,tow_truck
282,283,n04467665,trailer_truck
283,284,n03796401,moving_van
284,285,n03977966,police_van
285,286,n04065272,recreational_vehicle
286,287,n04335435,streetcar
287,288,n04252077,snowmobile
288,289,n04465501,tractor
289,290,n03776460,mobile_home
290,291,n04482393,tricycle
291,292,n04509417,unicycle
292,293,n03538406,horse_cart
293,294,n03599486,jinrikisha
294,295,n03868242,oxcart
295,296,n02804414,bassinet
296,297,n03125729,cradle
297,298,n03131574,crib
298,299,n03388549,four-poster
299,300,n02870880,bookcase
300,301,n03018349,china_cabinet
301,302,n03742115,medicine_chest
302,303,n03016953,chiffonier
303,304,n04380533,table_lamp
304,305,n03337140,file
305,306,n03891251,park_bench
306,307,n02791124,barber_chair
307,308,n04429376,throne
308,309,n03376595,folding_chair
309,310,n04099969,rocking_chair
310,311,n04344873,studio_couch
311,312,n04447861,toilet_seat
312,313,n03179701,desk
313,314,n03982430,pool_table
314,315,n03201208,dining_table
315,316,n03290653,entertainment_center
316,317,n04550184,wardrobe
317,318,n07742313,Granny_Smith
318,319,n07747607,orange
319,320,n07749582,lemon
320,321,n07753113,fig
321,322,n07753275,pineapple
322,323,n07753592,banana
323,324,n07754684,jackfruit
324,325,n07760859,custard_apple
325,326,n07768694,pomegranate
326,327,n12267677,acorn
327,328,n12620546,hip
328,329,n13133613,ear
329,330,n11879895,rapeseed
330,331,n12144580,corn
331,332,n12768682,buckeye
332,333,n03854065,organ
333,334,n04515003,upright
334,335,n03017168,chime
335,336,n03249569,drum
336,337,n03447721,gong
337,338,n03720891,maraca
338,339,n03721384,marimba
339,340,n04311174,steel_drum
340,341,n02787622,banjo
341,342,n02992211,cello
342,343,n04536866,violin
343,344,n03495258,harp
344,345,n02676566,acoustic_guitar
345,346,n03272010,electric_guitar
346,347,n03110669,cornet
347,348,n03394916,French_horn
348,349,n04487394,trombone
349,350,n03494278,harmonica
350,351,n03840681,ocarina
351,352,n03884397,panpipe
352,353,n02804610,bassoon
353,354,n03838899,oboe
354,355,n04141076,sax
355,356,n03372029,flute
356,357,n11939491,daisy
357,358,n12057211,yellow_lady's_slipper
358,359,n09246464,cliff
359,360,n09468604,valley
360,361,n09193705,alp
361,362,n09472597,volcano
362,363,n09399592,promontory
363,364,n09421951,sandbar
364,365,n09256479,coral_reef
365,366,n09332890,lakeside
366,367,n09428293,seashore
367,368,n09288635,geyser
368,369,n03498962,hatchet
369,370,n03041632,cleaver
370,371,n03658185,letter_opener
371,372,n03954731,plane
372,373,n03995372,power_drill
373,374,n03649909,lawn_mower
374,375,n03481172,hammer
375,376,n03109150,corkscrew
376,377,n02951585,can_opener
377,378,n03970156,plunger
378,379,n04154565,screwdriver
379,380,n04208210,shovel
380,381,n03967562,plow
381,382,n03000684,chain_saw
382,383,n01514668,cock
383,384,n01514859,hen
384,385,n01518878,ostrich
385,386,n01530575,brambling
386,387,n01531178,goldfinch
387,388,n01532829,house_finch
388,389,n01534433,junco
389,390,n01537544,indigo_bunting
390,391,n01558993,robin
391,392,n01560419,bulbul
392,393,n01580077,jay
393,394,n01582220,magpie
394,395,n01592084,chickadee
395,396,n01601694,water_ouzel
396,397,n01608432,kite
397,398,n01614925,bald_eagle
398,399,n01616318,vulture
399,400,n01622779,great_grey_owl
400,401,n01795545,black_grouse
401,402,n01796340,ptarmigan
402,403,n01797886,ruffed_grouse
403,404,n01798484,prairie_chicken
404,405,n01806143,peacock
405,406,n01806567,quail
406,407,n01807496,partridge
407,408,n01817953,African_grey
408,409,n01818515,macaw
409,410,n01819313,sulphur-crested_cockatoo
410,411,n01820546,lorikeet
411,412,n01824575,coucal
412,413,n01828970,bee_eater
413,414,n01829413,hornbill
414,415,n01833805,hummingbird
415,416,n01843065,jacamar
416,417,n01843383,toucan
417,418,n01847000,drake
418,419,n01855032,red-breasted_merganser
419,420,n01855672,goose
420,421,n01860187,black_swan
421,422,n02002556,white_stork
422,423,n02002724,black_stork
423,424,n02006656,spoonbill
424,425,n02007558,flamingo
425,426,n02009912,American_egret
426,427,n02009229,little_blue_heron
427,428,n02011460,bittern
428,429,n02012849,crane
429,430,n02013706,limpkin
430,431,n02018207,American_coot
431,432,n02018795,bustard
432,433,n02025239,ruddy_turnstone
433,434,n02027492,red-backed_sandpiper
434,435,n02028035,redshank
435,436,n02033041,dowitcher
436,437,n02037110,oystercatcher
437,438,n02017213,European_gallinule
438,439,n02051845,pelican
439,440,n02056570,king_penguin
440,441,n02058221,albatross
441,442,n01484850,great_white_shark
442,443,n01491361,tiger_shark
443,444,n01494475,hammerhead
444,445,n01496331,electric_ray
445,446,n01498041,stingray
446,447,n02514041,barracouta
447,448,n02536864,coho
448,449,n01440764,tench
449,450,n01443537,goldfish
450,451,n02526121,eel
451,452,n02606052,rock_beauty
452,453,n02607072,anemone_fish
453,454,n02643566,lionfish
454,455,n02655020,puffer
455,456,n02640242,sturgeon
456,457,n02641379,gar
457,458,n01664065,loggerhead
458,459,n01665541,leatherback_turtle
459,460,n01667114,mud_turtle
460,461,n01667778,terrapin
461,462,n01669191,box_turtle
462,463,n01675722,banded_gecko
463,464,n01677366,common_iguana
464,465,n01682714,American_chameleon
465,466,n01685808,whiptail
466,467,n01687978,agama
467,468,n01688243,frilled_lizard
468,469,n01689811,alligator_lizard
469,470,n01692333,Gila_monster
470,471,n01693334,green_lizard
471,472,n01694178,African_chameleon
472,473,n01695060,Komodo_dragon
473,474,n01704323,triceratops
474,475,n01697457,African_crocodile
475,476,n01698640,American_alligator
476,477,n01728572,thunder_snake
477,478,n01728920,ringneck_snake
478,479,n01729322,hognose_snake
479,480,n01729977,green_snake
480,481,n01734418,king_snake
481,482,n01735189,garter_snake
482,483,n01737021,water_snake
483,484,n01739381,vine_snake
484,485,n01740131,night_snake
485,486,n01742172,boa_constrictor
486,487,n01744401,rock_python
487,488,n01748264,Indian_cobra
488,489,n01749939,green_mamba
489,490,n01751748,sea_snake
490,491,n01753488,horned_viper
491,492,n01755581,diamondback
492,493,n01756291,sidewinder
493,494,n01629819,European_fire_salamander
494,495,n01630670,common_newt
495,496,n01631663,eft
496,497,n01632458,spotted_salamander
497,498,n01632777,axolotl
498,499,n01641577,bullfrog
499,500,n01644373,tree_frog
500,501,n01644900,tailed_frog
501,502,n04579432,whistle
502,503,n04592741,wing
503,504,n03876231,paintbrush
504,505,n03483316,hand_blower
505,506,n03868863,oxygen_mask
506,507,n04251144,snorkel
507,508,n03691459,loudspeaker
508,509,n03759954,microphone
509,510,n04152593,screen
510,511,n03793489,mouse
511,512,n03271574,electric_fan
512,513,n03843555,oil_filter
513,514,n04332243,strainer
514,515,n04265275,space_heater
515,516,n04330267,stove
516,517,n03467068,guillotine
517,518,n02794156,barometer
518,519,n04118776,rule
519,520,n03841143,odometer
520,521,n04141975,scale
521,522,n02708093,analog_clock
522,523,n03196217,digital_clock
523,524,n04548280,wall_clock
524,525,n03544143,hourglass
525,526,n04355338,sundial
526,527,n03891332,parking_meter
527,528,n04328186,stopwatch
528,529,n03197337,digital_watch
529,530,n04317175,stethoscope
530,531,n04376876,syringe
531,532,n03706229,magnetic_compass
532,533,n02841315,binoculars
533,534,n04009552,projector
534,535,n04356056,sunglasses
535,536,n03692522,loupe
536,537,n04044716,radio_telescope
537,538,n02879718,bow
538,539,n02950826,cannon
539,540,n02749479,assault_rifle
540,541,n04090263,rifle
541,542,n04008634,projectile
542,543,n03085013,computer_keyboard
543,544,n04505470,typewriter_keyboard
544,545,n03126707,crane
545,546,n03666591,lighter
546,547,n02666196,abacus
547,548,n02977058,cash_machine
548,549,n04238763,slide_rule
549,550,n03180011,desktop_computer
550,551,n03485407,hand-held_computer
551,552,n03832673,notebook
552,553,n06359193,web_site
553,554,n03496892,harvester
554,555,n04428191,thresher
555,556,n04004767,printer
556,557,n04243546,slot
557,558,n04525305,vending_machine
558,559,n04179913,sewing_machine
559,560,n03602883,joystick
560,561,n04372370,switch
561,562,n03532672,hook
562,563,n02974003,car_wheel
563,564,n03874293,paddlewheel
564,565,n03944341,pinwheel
565,566,n03992509,potter's_wheel
566,567,n03425413,gas_pump
567,568,n02966193,carousel
568,569,n04371774,swing
569,570,n04067472,reel
570,571,n04040759,radiator
571,572,n04019541,puck
572,573,n03492542,hard_disc
573,574,n04355933,sunglass
574,575,n03929660,pick
575,576,n02965783,car_mirror
576,577,n04258138,solar_dish
577,578,n04074963,remote_control
578,579,n03208938,disk_brake
579,580,n02910353,buckle
580,581,n03476684,hair_slide
581,582,n03627232,knot
582,583,n03075370,combination_lock
583,584,n03874599,padlock
584,585,n03804744,nail
585,586,n04127249,safety_pin
586,587,n04153751,screw
587,588,n03803284,muzzle
588,589,n04162706,seat_belt
589,590,n04228054,ski
590,591,n02948072,candle
591,592,n03590841,jack-o'-lantern
592,593,n04286575,spotlight
593,594,n04456115,torch
594,595,n03814639,neck_brace
595,596,n03933933,pier
596,597,n04485082,tripod
597,598,n03733131,maypole
598,599,n03794056,mousetrap
599,600,n04275548,spider_web
600,601,n01768244,trilobite
601,602,n01770081,harvestman
602,603,n01770393,scorpion
603,604,n01773157,black_and_gold_garden_spider
604,605,n01773549,barn_spider
605,606,n01773797,garden_spider
606,607,n01774384,black_widow
607,608,n01774750,tarantula
608,609,n01775062,wolf_spider
609,610,n01776313,tick
610,611,n01784675,centipede
611,612,n01990800,isopod
612,613,n01978287,Dungeness_crab
613,614,n01978455,rock_crab
614,615,n01980166,fiddler_crab
615,616,n01981276,king_crab
616,617,n01983481,American_lobster
617,618,n01984695,spiny_lobster
618,619,n01985128,crayfish
619,620,n01986214,hermit_crab
620,621,n02165105,tiger_beetle
621,622,n02165456,ladybug
622,623,n02167151,ground_beetle
623,624,n02168699,long-horned_beetle
624,625,n02169497,leaf_beetle
625,626,n02172182,dung_beetle
626,627,n02174001,rhinoceros_beetle
627,628,n02177972,weevil
628,629,n02190166,fly
629,630,n02206856,bee
630,631,n02226429,grasshopper
631,632,n02229544,cricket
632,633,n02231487,walking_stick
633,634,n02233338,cockroach
634,635,n02236044,mantis
635,636,n02256656,cicada
636,637,n02259212,leafhopper
637,638,n02264363,lacewing
638,639,n02268443,dragonfly
639,640,n02268853,damselfly
640,641,n02276258,admiral
641,642,n02277742,ringlet
642,643,n02279972,monarch
643,644,n02280649,cabbage_butterfly
644,645,n02281406,sulphur_butterfly
645,646,n02281787,lycaenid
646,647,n01910747,jellyfish
647,648,n01914609,sea_anemone
648,649,n01917289,brain_coral
649,650,n01924916,flatworm
650,651,n01930112,nematode
651,652,n01943899,conch
652,653,n01944390,snail
653,654,n01945685,slug
654,655,n01950731,sea_slug
655,656,n01955084,chiton
656,657,n02319095,sea_urchin
657,658,n02321529,sea_cucumber
658,659,n03584829,iron
659,660,n03297495,espresso_maker
660,661,n03761084,microwave
661,662,n03259280,Dutch_oven
662,663,n04111531,rotisserie
663,664,n04442312,toaster
664,665,n04542943,waffle_iron
665,666,n04517823,vacuum
666,667,n03207941,dishwasher
667,668,n04070727,refrigerator
668,669,n04554684,washer
669,670,n03133878,Crock_Pot
670,671,n03400231,frying_pan
671,672,n04596742,wok
672,673,n02939185,caldron
673,674,n03063689,coffeepot
674,675,n04398044,teapot
675,676,n04270147,spatula
676,677,n02699494,altar
677,678,n04486054,triumphal_arch
678,679,n03899768,patio
679,680,n04311004,steel_arch_bridge
680,681,n04366367,suspension_bridge
681,682,n04532670,viaduct
682,683,n02793495,barn
683,684,n03457902,greenhouse
684,685,n03877845,palace
685,686,n03781244,monastery
686,687,n03661043,library
687,688,n02727426,apiary
688,689,n02859443,boathouse
689,690,n03028079,church
690,691,n03788195,mosque
691,692,n04346328,stupa
692,693,n03956157,planetarium
693,694,n04081281,restaurant
694,695,n03032252,cinema
695,696,n03529860,home_theater
696,697,n03697007,lumbermill
697,698,n03065424,coil
698,699,n03837869,obelisk
699,700,n04458633,totem_pole
700,701,n02980441,castle
701,702,n04005630,prison
702,703,n03461385,grocery_store
703,704,n02776631,bakery
704,705,n02791270,barbershop
705,706,n02871525,bookshop
706,707,n02927161,butcher_shop
707,708,n03089624,confectionery
708,709,n04200800,shoe_shop
709,710,n04443257,tobacco_shop
710,711,n04462240,toyshop
711,712,n03388043,fountain
712,713,n03042490,cliff_dwelling
713,714,n04613696,yurt
714,715,n03216828,dock
715,716,n02892201,brass
716,717,n03743016,megalith
717,718,n02788148,bannister
718,719,n02894605,breakwater
719,720,n03160309,dam
720,721,n03000134,chainlink_fence
721,722,n03930313,picket_fence
722,723,n04604644,worm_fence
723,724,n04326547,stone_wall
724,725,n03459775,grille
725,726,n04239074,sliding_door
726,727,n04501370,turnstile
727,728,n03792972,mountain_tent
728,729,n04149813,scoreboard
729,730,n03530642,honeycomb
730,731,n03961711,plate_rack
731,732,n03903868,pedestal
732,733,n02814860,beacon
733,734,n07711569,mashed_potato
734,735,n07720875,bell_pepper
735,736,n07714571,head_cabbage
736,737,n07714990,broccoli
737,738,n07715103,cauliflower
738,739,n07716358,zucchini
739,740,n07716906,spaghetti_squash
740,741,n07717410,acorn_squash
741,742,n07717556,butternut_squash
742,743,n07718472,cucumber
743,744,n07718747,artichoke
744,745,n07730033,cardoon
745,746,n07734744,mushroom
746,747,n04209239,shower_curtain
747,748,n03594734,jean
748,749,n02971356,carton
749,750,n03485794,handkerchief
750,751,n04133789,sandal
751,752,n02747177,ashcan
752,753,n04125021,safe
753,754,n07579787,plate
754,755,n03814906,necklace
755,756,n03134739,croquet_ball
756,757,n03404251,fur_coat
757,758,n04423845,thimble
758,759,n03877472,pajama
759,760,n04120489,running_shoe
760,761,n03062245,cocktail_shaker
761,762,n03014705,chest
762,763,n03717622,manhole_cover
763,764,n03777754,modem
764,765,n04493381,tub
765,766,n04476259,tray
766,767,n02777292,balance_beam
767,768,n07693725,bagel
768,769,n03998194,prayer_rug
769,770,n03617480,kimono
770,771,n07590611,hot_pot
771,772,n04579145,whiskey_jug
772,773,n03623198,knee_pad
773,774,n07248320,book_jacket
774,775,n04277352,spindle
775,776,n04229816,ski_mask
776,777,n02823428,beer_bottle
777,778,n03127747,crash_helmet
778,779,n02877765,bottlecap
779,780,n04435653,tile_roof
780,781,n03724870,mask
781,782,n03710637,maillot
782,783,n03920288,Petri_dish
783,784,n03379051,football_helmet
784,785,n02807133,bathing_cap
785,786,n04399382,teddy
786,787,n03527444,holster
787,788,n03983396,pop_bottle
788,789,n03924679,photocopier
789,790,n04532106,vestment
790,791,n06785654,crossword_puzzle
791,792,n03445777,golf_ball
792,793,n07613480,trifle
793,794,n04350905,suit
